Block,ScreenCoordX,ScreenCoordY,InitialHoldX,InitialHoldY,Row,Col
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,468,490,1015,1120,593
"[[1. 0. 0.]
 [1. 0. 0.]
 [1. 1. 1.]]",1258,733,698,1015,1120,803
"[[1. 0. 0.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1. 1.]
 [1. 1.]]",1258,468,490,1063,1168,592
"[[1. 1.]
 [1. 0.]]",1258,215,233,1063,1168,338
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,733,747,1015,1120,850
"[[1. 1. 1.]
 [0. 0. 1.]
 [0. 0. 1.]]",1258,468,441,1015,1120,546
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,233,1015,1120,338
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,468,490,1015,1120,592
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,733,891,1016,1121,996
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,215,280,967,1071,385
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,468,539,966,1071,642
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,803
"[[1. 1.]
 [1. 0.]
 [1. 0.]]",1258,468,490,1015,1120,592
"[[1. 1.]
 [0. 1.]
 [0. 1.]]",1258,215,233,1015,1120,338
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,803
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1. 1. 1.]
 [1. 0. 0.]]",1258,468,441,1063,1168,544
[[1. 1. 1. 1. 1.]],1258,733,601,1112,1217,705
"[[1. 1.]
 [0. 1.]
 [0. 1.]]",1258,215,233,1015,1120,338
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,733,700,1063,1168,803
"[[0. 1.]
 [0. 1.]
 [1. 1.]]",1258,468,586,1016,1121,691
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,215,280,967,1071,385
"[[0. 1.]
 [1. 1.]
 [0. 1.]]",1258,733,845,1015,1121,946
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,233,1015,1120,338
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,468,490,1015,1120,592
"[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]",1258,733,795,919,1024,899
"[[1. 1.]
 [0. 1.]
 [0. 1.]]",1258,215,233,1015,1120,338
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,468,636,1015,1120,739
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,733,747,1015,1120,850
"[[1. 0.]
 [1. 1.]
 [1. 0.]]",1258,215,233,1015,1120,338
[[1. 1. 1. 1. 1.]],1258,468,344,1112,1217,449
"[[0. 1. 0.]
 [1. 1. 1.]]",1258,733,795,1064,1168,899
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,215,379,1015,1120,482
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,468,490,1015,1120,593
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[1. 1.]
 [0. 1.]
 [0. 1.]]",1258,215,233,1015,1120,338
"[[1. 1. 1.]
 [0. 0. 1.]]",1258,468,441,1063,1168,544
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[0. 1.]
 [0. 1.]
 [1. 1.]]",1258,215,330,1016,1120,434
"[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]",1258,468,538,918,1024,642
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,733,747,1015,1120,850
"[[0. 0. 1.]
 [1. 1. 1.]]",1258,468,636,1063,1168,738
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,234,1015,1120,337
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,215,233,1015,1120,337
"[[1. 0. 0.]
 [1. 0. 0.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[0. 0. 1.]
 [1. 1. 1.]]",1258,468,636,1063,1168,738
[[1. 1. 1.]],1258,215,185,1112,1217,290
"[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]",1258,468,538,918,1024,642
"[[1.]
 [1.]
 [1.]]",1258,733,795,1015,1120,899
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,234,1015,1120,337
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,468,442,1063,1168,544
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,733,892,1016,1121,996
"[[1. 1. 1.]
 [1. 0. 0.]]",1258,215,185,1063,1168,288
"[[0. 0. 1.]
 [1. 1. 1.]]",1258,468,636,1063,1168,738
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,234,1015,1120,337
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,468,490,1015,1120,593
"[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]",1258,733,795,918,1024,900
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,215,233,1015,1120,337
"[[1. 1.]
 [1. 0.]
 [1. 0.]]",1258,468,490,1015,1120,593
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,733,892,1016,1121,996
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,234,1015,1120,337
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,468,442,1063,1168,544
"[[1. 1. 1.]
 [1. 0. 0.]
 [1. 0. 0.]]",1258,733,698,1015,1120,802
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,234,1015,1120,337
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,733,892,1016,1121,996
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,468,490,1015,1120,593
"[[0. 1.]
 [1. 1.]
 [0. 1.]]",1258,468,587,1016,1121,691
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[1. 1. 1.]
 [0. 0. 1.]]",1258,215,185,1063,1168,289
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,234,1015,1120,337
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,468,442,1063,1168,544
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,733,892,1016,1121,996
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,234,1015,1120,337
"[[1. 1. 1.]
 [0. 0. 1.]]",1258,468,441,1063,1168,544
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1. 1.]
 [1. 0.]
 [1. 0.]]",1258,468,490,1015,1120,593
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,733,892,1016,1121,996
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,215,233,1015,1120,337
"[[1. 1. 1.]
 [1. 0. 0.]
 [1. 0. 0.]]",1258,468,441,1015,1120,546
"[[1. 1. 1.]
 [0. 0. 1.]]",1258,733,698,1063,1168,803
"[[0. 1. 0.]
 [1. 1. 1.]]",1258,215,282,1063,1168,384
[[1. 1. 1. 1. 1.]],1258,468,344,1112,1217,449
"[[1. 1.]
 [1. 1.]]",1258,733,747,1063,1168,849
"[[1. 1.]
 [1. 0.]]",1258,215,233,1063,1168,338
"[[1. 0.]
 [0. 1.]]",1258,468,490,1063,1168,592
"[[1. 0.]
 [0. 1.]]",1258,733,748,1063,1169,850
"[[1. 1. 1.]
 [1. 0. 0.]]",1258,215,184,1063,1168,288
"[[0. 1. 0.]
 [1. 1. 1.]]",1258,468,538,1063,1168,642
[[1. 1. 1. 1. 1.]],1258,733,601,1112,1217,706
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,468,537,967,1071,641
"[[1. 1. 1.]
 [0. 0. 1.]
 [0. 0. 1.]]",1258,215,184,1015,1120,288
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,733,794,967,1071,899
[[1. 1. 1. 1. 1.]],1258,215,100,1112,1217,191
"[[1. 1. 1.]
 [0. 1. 0.]]",1258,733,698,1063,1168,803
"[[0. 0. 1.]
 [1. 1. 1.]]",1258,468,636,1063,1168,738
"[[0. 0. 1.]
 [1. 1. 1.]]",1258,468,636,1063,1168,738
"[[1. 0. 0.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,733,794,967,1071,899
"[[1. 0. 0.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1. 0. 0.]
 [1. 1. 1.]]",1258,733,698,1063,1168,803
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,468,441,1015,1120,545
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,733,747,1015,1120,850
"[[1.]
 [1.]]",1258,215,282,1063,1168,384
[[1. 1.]],1258,468,489,1112,1217,593
"[[1. 1.]
 [1. 1.]]",1258,733,747,1063,1168,850
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,468,490,1015,1120,593
[[1. 1. 1. 1. 1.]],1258,733,601,1112,1217,706
"[[1.]
 [1.]]",1258,215,282,1063,1168,384
"[[1.]
 [1.]]",1258,215,282,1063,1168,384
"[[0. 1.]
 [0. 1.]
 [1. 1.]]",1258,468,587,1015,1120,690
[[1. 1. 1.]],1258,733,700,1112,1217,803
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,468,442,1063,1168,544
"[[1. 1.]
 [0. 1.]
 [0. 1.]]",1258,733,747,1015,1120,851
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,215,233,1015,1120,337
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,803
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,215,233,1016,1120,337
"[[1. 1. 1.]
 [1. 0. 0.]]",1258,468,441,1063,1168,544
"[[1. 0. 0.]
 [1. 0. 0.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,803
"[[0. 0. 1.]
 [1. 1. 1.]]",1258,215,393,1063,1168,481
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,468,636,1015,1120,739
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,733,700,1063,1168,803
[[1. 1. 1. 1. 1.]],1258,215,100,1112,1217,191
[[1. 1. 1. 1. 1.]],1258,468,344,1112,1217,449
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,215,233,1015,1120,337
"[[1. 1.]
 [0. 1.]
 [0. 1.]]",1258,733,747,1015,1120,851
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,468,442,1063,1168,544
"[[1. 1. 1.]
 [1. 0. 0.]]",1258,215,185,1063,1168,288
"[[1. 0. 0.]
 [1. 0. 0.]
 [1. 1. 1.]]",1258,468,442,1015,1121,544
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,803
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,215,233,1015,1120,337
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,468,442,1063,1168,544
"[[1. 1.]
 [1. 0.]
 [1. 0.]]",1258,733,747,1015,1120,850
"[[1. 1. 1.]
 [1. 0. 0.]]",1258,215,185,1063,1168,288
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,468,636,1015,1120,739
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,733,700,1063,1168,803
[[1. 1. 1. 1.]],1258,215,136,1112,1217,245
[[1. 1. 1. 1.]],1258,733,650,1112,1217,754
"[[1. 1.]
 [1. 1.]]",1258,215,233,1063,1168,338
"[[1. 0. 0.]
 [1. 0. 0.]
 [1. 1. 1.]]",1258,215,186,1015,1121,288
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,215,187,1015,1120,289
"[[1. 1. 1.]
 [0. 0. 1.]
 [0. 0. 1.]]",1258,733,698,1015,1120,802
"[[1. 1. 1.]
 [0. 1. 0.]]",1258,468,442,1063,1168,544
"[[1.]
 [1.]
 [1.]
 [1.]
 [1.]]",1258,215,282,918,1024,385
"[[0. 1.]
 [1. 1.]
 [1. 0.]]",1258,468,586,1016,1121,691
"[[1. 1. 1.]
 [1. 0. 0.]
 [1. 0. 0.]]",1258,215,187,1015,1120,289
"[[0. 0. 1.]
 [1. 1. 1.]]",1258,733,890,1074,1169,996
"[[0. 1. 1.]
 [1. 1. 0.]]",1258,468,536,1070,1168,641
[[1. 1. 1. 1.]],1258,468,394,1112,1217,498
"[[1. 0. 0.]
 [1. 1. 1.]]",1258,468,441,1064,1168,544
"[[1.]
 [1.]
 [1.]]",1258,468,538,1015,1121,642
"[[1. 1. 0.]
 [0. 1. 1.]]",1258,468,441,1063,1168,544
"[[0. 1.]
 [0. 1.]
 [1. 1.]]",1258,733,844,1015,1120,947
[[1. 1.]],1258,215,235,1112,1218,337
"[[1. 1. 1.]
 [0. 1. 0.]]",1258,215,185,1063,1168,289
"[[0. 1.]
 [1. 1.]
 [0. 1.]]",1258,215,330,1016,1121,433
"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",1258,733,698,1015,1120,802
"[[1. 0.]
 [1. 1.]
 [0. 1.]]",1258,468,489,1015,1120,593
"[[1.]
 [1.]
 [1.]]",1258,215,281,1016,1121,385
"[[1.]
 [1.]]",1258,733,794,1064,1168,899
"[[1.]
 [1.]]",1258,468,538,1063,1168,641
"[[1. 1.]
 [1. 0.]
 [1. 0.]]",1258,215,233,1015,1120,337
"[[1. 1. 1.]
 [1. 0. 0.]]",1258,733,700,1063,1168,803
"[[1. 0.]
 [1. 1.]
 [1. 0.]]",1258,733,747,1015,1120,850
"[[0. 1.]
 [1. 0.]]",1258,468,586,1063,1168,691
"[[0. 1. 1.]
 [1. 1. 0.]]",1258,733,795,1064,1168,899
"[[1. 0.]
 [1. 1.]
 [1. 0.]]",1258,468,490,1015,1121,592
[[1. 1. 1.]],1258,468,442,1112,1217,546
"[[1. 1.]
 [0. 1.]]",1258,215,233,1063,1168,338
"[[1. 1.]
 [0. 1.]]",1258,733,747,1063,1168,849
"[[0. 0. 1.]
 [0. 1. 0.]
 [1. 0. 0.]]",1258,215,377,1015,1121,482
"[[1. 1. 0.]
 [0. 1. 1.]]",1258,733,698,1063,1168,803
"[[0. 1.]
 [1. 1.]]",1258,733,844,1063,1168,946
"[[1. 1.]
 [1. 0.]]",1258,468,490,1063,1168,592
"[[0. 1.]
 [1. 1.]]",1258,468,587,1063,1168,691
"[[1. 1.]
 [1. 0.]]",1258,733,747,1063,1168,849
"[[1. 1. 0.]
 [0. 1. 1.]]",1258,215,185,1063,1168,288
"[[0. 1.]
 [1. 1.]
 [1. 0.]]",1258,733,844,1016,1121,947
"[[1. 0.]
 [1. 1.]
 [0. 1.]]",1258,215,233,1015,1120,337
"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",1258,468,441,1015,1120,545
"[[1. 0.]
 [1. 1.]
 [0. 1.]]",1258,733,747,1015,1120,849
"[[0. 1. 1.]
 [1. 1. 0.]]",1258,215,282,1063,1168,384
"[[1. 0.]
 [0. 1.]]",1258,215,231,1070,1168,338
"[[0. 1.]
 [1. 1.]
 [1. 0.]]",1258,215,331,1015,1121,434
"[[1. 1.]
 [0. 1.]]",1258,468,490,1064,1168,592
[[1. 1.]],1258,733,747,1112,1217,850
"[[1. 0.]
 [1. 1.]]",1258,215,233,1064,1168,338
"[[1. 0.]
 [1. 1.]]",1258,468,489,1065,1168,592
"[[0. 1.]
 [1. 0.]]",1258,215,328,1067,1168,433
"[[1. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [1. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [1. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]]",1258,468,538,920,1026,642
"[[1. 1.]
 [0. 1.]
 [0. 1.]]",1258,468,490,1015,1120,594
"[[1. 0.]
 [1. 1.]]",1258,733,748,1063,1168,850
"[[0. 1.]
 [1. 1.]]",1258,215,330,1064,1168,434
"[[0. 1.]
 [1. 0.]]",1258,733,844,1063,1168,946
